ticker,company_name,link,market_cap_B,change,volume,revenue_B,pe_ratio,forward_pe,pb_ratio,peg_ratio,earnings_yield,roe,roa,operating_margin,profit_margin,eps,beta,price_change_52w,rsi,short_percent_float,short_ratio,cash_B,total_debt_B,equity_B,book_value_per_share,dividend_yield,dividend_growth,payout_ratio,buyback_yield,shareholder_yield,price_target_difference,analyst_consensus,analyst_count,revenue_growth_forecast_3y,eps_growth_forecast_3y
BRK.B,Berkshire Hathaway Inc.,https://stockanalysis.com/stocks/brk.b/,1080.0,-0.0057,3969452,384.69,12.55,22.88,1.43,,0.0797,0.12119999999999999,0.0601,0.30329999999999996,0.223,39.77,0.61,0.052000000000000005,47.46,,2.33,365.51,128.6,750.18,348.15,,,,0.0,0.0,0.08470000000000001,Buy,4,0.0558,0.0395
JPM,JPMorgan Chase & Co.,https://stockanalysis.com/stocks/jpm/,964.5,-0.0007,5057884,186.33,15.59,15.05,2.73,1.49,0.0659,0.1779,0.013600000000000001,0.45039999999999997,0.3492,23.3,0.98,0.2339,58.73,0.010700000000000001,2.96,1530.0,1340.0,374.6,133.01,0.0167,0.1321,0.2575,0.035699999999999996,0.052199999999999996,0.042,Buy,24,0.0649,0.1073
V,Visa Inc.,https://stockanalysis.com/stocks/v/,668.44,-0.0036,8106908,44.49,31.01,25.19,19.3,1.87,0.0335,0.6119,0.1911,0.6688,0.5078,11.75,0.76,0.0574,55.0,0.012199999999999999,2.58,13.79,23.86,35.18,18.87,0.0073,0.1356,0.2281,0.0288,0.0361,0.14,Strong Buy,40,0.1191,0.1399
MA,Mastercard Incorporated,https://stockanalysis.com/stocks/ma/,498.7,0.004,2473346,35.08,31.58,27.01,89.79,1.62,0.0323,2.412,0.24059999999999998,0.5988,0.46340000000000003,18.18,0.73,-0.0204,61.05,0.0103,2.78,11.61,24.64,5.61,6.4,0.0060999999999999995,0.1463,0.19140000000000001,0.0235,0.029500000000000002,0.16140000000000002,Strong Buy,40,0.1276,0.1629
BAC,Bank of America Corporation,https://stockanalysis.com/stocks/bac/,450.96,0.0062,21845904,113.93,14.84,12.91,1.63,0.83,0.0718,0.11199999999999999,0.0097,0.3686,0.2952,4.33,1.17,0.3348,62.2,0.0,,868.14,788.99,301.09,39.34,0.02,0.0943,0.2957,0.037200000000000004,0.0572,0.0724,Buy,24,0.059800000000000006,0.1578
HSBC,HSBC Holdings plc,https://stockanalysis.com/stocks/hsbc/,355.09,0.0023,604351,67.43,16.67,11.42,1.78,,0.06,0.1311,0.0078000000000000005,0.4999,0.37799999999999995,6.19,0.58,0.6194,54.39,0.0004,4.31,1220.0,837.58,197.08,10.08,0.0362,0.13720000000000002,0.6027,0.038599999999999995,0.0748,0.024700000000000003,Hold,3,0.054299999999999994,0.11019999999999999
MS,Morgan Stanley,https://stockanalysis.com/stocks/ms/,341.38,-0.0047,3406025,77.83,17.58,16.65,3.21,1.53,0.0572,0.1797,0.013500000000000002,0.402,0.259,12.38,1.21,0.4915,50.33,0.0,0.01,739.08,607.5,117.44,67.8,0.021400000000000002,0.0993,0.37170000000000003,0.0134,0.0346,0.09970000000000001,Buy,25,0.087,0.1197
GS,"The Goldman Sachs Group, Inc.",https://stockanalysis.com/stocks/gs/,314.7,-0.0031,1592942,67.57,16.1,14.91,2.87,1.03,0.0634,0.16899999999999998,0.010700000000000001,0.3936,0.3104,64.63,1.29,0.4069,46.04,0.0206,3.06,1160.0,897.49,123.73,362.05,0.0196,0.3846,0.2785,0.0472,0.0663,0.1174,Hold,25,0.0776,0.1495
RY,Royal Bank of Canada,https://stockanalysis.com/stocks/ry/,301.14,0.0073,1193247,48.28,18.85,17.61,2.87,,0.0535,0.162,0.0095,0.4542,0.3369,11.3,0.93,0.5611999999999999,54.94,0.006500000000000001,4.39,583.46,354.89,103.42,68.53,0.0223,0.11449999999999999,0.41979999999999995,0.0086,0.030899999999999997,-0.0875,Buy,14,0.0528,0.09910000000000001
WFC,Wells Fargo & Company,https://stockanalysis.com/stocks/wfc/,268.59,0.0081,8788502,83.03,12.7,11.76,1.61,0.87,0.0818,0.1258,0.0108,0.32789999999999997,0.2723,6.88,0.92,0.1219,49.59,0.0,,496.41,478.47,182.32,54.43,0.0231,0.12119999999999999,0.2907,0.059800000000000006,0.0827,0.1505,Buy,26,0.0508,0.12480000000000001
